shapeid,OIDN,oppPerceel,oppBebouwd,volume,hoogte,woongebied,woonvernie,woonuitbre,industrie,landbouw,zone,zoneId,Mobiscore,X,Y
"13481","979736",113.93,0.000000,0.000000,,,,,,Grasland,VELDEKEN,"6","5279",92413.0851920000,206148.7146400000
"13482","982641",259.45,0.000000,0.000000,,,,,,,OOSTVELDSTRAAT,"2","6268",96862.1362620000,208643.8990700000
"13483","983732",2712.84,0.000000,0.000000,,,,,,,OOSTVELD,"7","6804",96529.6732310000,208154.4728600000
"13484","984455",1507.72,30.350000,80.124000,2.640,GEMEENTEHUIS   KERKESTEE,,,,,GEMEENTEHUIS   KERKESTEE,"28","7578",95439.3333020000,208250.7770900000
"13485","5136482",598.56,144.200000,1371.342000,9.510,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7467",95274.5691790000,207275.4838400000
"13486","980484",212.08,0.000000,0.000000,,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7823",94095.5562020000,207694.7060400000
"13487","5136448",356.78,90.920000,733.724000,8.070,KERKSTRAAT   ROZE,KERKSTRAAT   ROZE,,,,KERKSTRAAT   ROZE,"25","7919",94413.7120530000,208893.2517800000
"13488","5136335",9746.02,2474.520000,18153.502000,7.336,,,,,Grasland,SINT-JANS VELD,"12","5901",91933.3027950000,210757.7421400000
"13489","5136499",2992.13,70.000000,142.550000,2.036,,,,,Overige gewassen,DE WAAI,"13","5421",95783.3078940000,211935.2774500000
"13490","983616",3878.71,0.000000,0.000000,,,,,,Grasland,OOSTVELD,"7","6112",96793.8609370000,207454.9488300000
"13491","4041574",49.50,0.000000,0.000000,,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","8031",94284.6627650000,207863.9240500000
"13492","5136351",536.69,65.610000,185.676000,2.830,MOLENSTRAAT,,,,,MOLENSTRAAT,"27","7840",93232.3421500000,208967.2850500000
"13493","984023",520.27,37.860000,96.940000,2.560,ZUIDMOERSTRAAT GENTSESTEENWEG,ZUIDMOERSTRAAT GENTSESTEENWEG,,Dam,,ZUIDMOERSTRAAT GENTSESTEENWEG,"19","7546",95167.6021730000,207264.1232500000
"13494","983236",2010.47,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,KRUISKENS,"11","5283",96342.1363220000,210142.7703500000
"13495","2312403",5275.16,0.000000,0.000000,,,,,,MaÃƒÆ’Ã†â€™Ãƒâ€šÃ‚Â¯s,VROMBAUT,"9","5961",96775.9322120000,209189.5701500000
"13496","3809007",2443.16,0.000000,0.000000,,,,,,,HET LEEN,"5","6743",93749.5549050000,206829.5572100000
"13497","5136336",27133.52,8113.740000,91117.300000,11.230,,,,Nieuwendorpe,Grasland,NIJVERHEIDSKAAI WEST,"1","6432",92027.3077560000,208437.5645000000
"13498","5136466",1901.33,0.000000,0.000000,,LEKESTRAAT   SCHAPERIJ,,,,,LEKESTRAAT   SCHAPERIJ,"24","8033",94840.0344710000,208187.0559600000
